SL,Model,Manufacturer,inv_type,inv_kVA_rating,inv_input_voltage,cc_output_current,inv_efficiency,cc_type,cc_input_panel_watts,cc_PV_input_voltage,cc_efficiency,batt_support,weight,Dimensions,Price
1,UTL Gamma Plus Mppt solar inverter 1 KVA /12 Volt,UTL Solar,Off-Grid,1,12,30,80,MPPT,1000,45,95,N/A,25,305.5 x 327.8 x 116,"9,900"
2,UTL Gamma Plus Mppt solar inverter 1 KVA /24 Volt,UTL Solar,Off-Grid,1,24,30,80,MPPT,1000,45,95,N/A,25,305.5 x 327.8 x 116,"10,100"
3,UTL Gamma Plus Mppt solar inverter 2 KVA /24 Volt,UTL Solar,Off-Grid,2,24,80,85,MPPT,2000,90,95,N/A,30,305.5 x 327.8 x 116,"26,000"
4,UTL Gamma Plus Mppt solar inverter 2 KVA /48 Volt,UTL Solar,Off-Grid,2,48,40,85,MPPT,2000,80,95,N/A,39,305.5 x 327.8 x 116,N/A
5,UTL Gamma Plus Mppt solar inverter 3 KVA /48 Volt,UTL Solar,Off-Grid,3,48,60,88,MPPT,3000,100,95,N/A,55,305.5 x 327.8 x 116,N/A
6,UTL Gamma Plus Mppt solar inverter 5 KVA /48 Volt,UTL Solar,Off-Grid,5,48,100,88,MPPT,5000,230,95,N/A,55,305.5 x 327.8 x 116,N/A
7,UTL Gamma Plus Mppt solar inverter 5 KVA /96 Volt,UTL Solar,Off-Grid,5,96,50,88,MPPT,5000,450,95,N/A,55,305.5 x 327.8 x 116,N/A
8,Smarten Superb 1100 mppt inverter ,Smarten,Off-Grid,1,12,30,90,MPPT,500,50,93,N/A,30,N/A,"9,700"
9,Smarten Superb 2200 mppt inverter,Smarten,Off-Grid,2,24,30,90,MPPT,1000,85,93,N/A,40,N/A,"14,000"
10,Smarten Superb 5200 mppt inverter ,Smarten,Off-Grid,5,48,50,90,MPPT,3000,120,93,N/A,60,N/A,"50,500"
11,Microtek solar inverter msun 2335 VA - off grid,Microtek,Off-Grid,2.335,24,30,80,PWM,1200,45,92,N/A,N/A,N/A,"9,600"
12,Microtek solar inverter msun 1435 - off grid,Microtek,Off-Grid,1.435,12,30,80,PWM,600,30,92,150,N/A,N/A,"6,700"
13,Microtek solar inverter msun 2035 - off grid,Microtek,Off-Grid,2.035,24,30,80,PWM,1200,45,92,200,N/A,N/A,"8,100"
14,Microtek Solar Inverter msun 1235 Off Grid,Microtek,Off-Grid,1.235,12,30,80,PWM,600,30,92,200,N/A,N/A,"6,000"
15,Microtek solar off grid inverter msun 1 kva -with mppt charger,Microtek,Off-Grid,1,24,40,86,MPPT,1000,85,98,200,17.5,350x398x170,"14,500"
16,Microtek off grid solar inverter msun 2kva with mppt charger,Microtek,Off-Grid,2,36,40,89,MPPT,1960,130,98,200,31.5,490x255x425,"29,000"
17,Microtek off grid solar inverter msun 2kva with mppt charger,Microtek,Off-Grid,2,48,40,89,MPPT,1960,170,98,200,33.5,490x255x425,"33,000"
