sl,model,panel_manufacturer,rating,tech_type,Voc,Isc,Vmp,Imp,NOCT,T_Pmax,T_Voc,T_Isc,dimensions,weight,cell_count,price,efficiency,life,Remarks
1,WS-40/ 12,Waaree,40,POLYCRYSTALLINE,21.37,2.5,17.18,2.33,46,-0.3859,-0.2775,0.0051,485x675x35,4.8,36,880,12.22,25,ARUN  SERIES
2, WS-45/ 12,Waaree,45,POLYCRYSTALLINE,21.42,2.8,17.19,2.62,46,-0.3859,-0.2775,0.0051,630x675x35,5.15,36,990,10.58,25,ARUN  SERIES
3, WS-50/ 12,Waaree,50,POLYCRYSTALLINE,21.47,3.11,17.21,2.91,46,-0.3859,-0.2775,0.0051,630x675x35,5.15,36,1100,11.76,25,ARUN  SERIES
4, WS-50/ 24,Waaree,50,POLYCRYSTALLINE,43.6,1.53,35.15,1.43,46,-0.3859,-0.2775,0.0051,630x675x35,5.15,72,1100,11.76,25,ARUN  SERIES
5, WS-55/ 12,Waaree,55,POLYCRYSTALLINE,21.52,3.41,17.24,3.2,46,-0.3859,-0.2775,0.0051,630x675x35,5.15,36,1210,12.93,25,ARUN  SERIES
6, WS-60/ 12,Waaree,60,POLYCRYSTALLINE,21.57,3.71,17.26,3.48,46,-0.3859,-0.2775,0.0051,630x675x35,6,36,1320,14.11,25,ARUN  SERIES
7, WS-60/ 24,Waaree,60,POLYCRYSTALLINE,43.7,1.83,35.25,1.71,46,-0.3859,-0.2775,0.0051,630x675x35,6,72,1320,14.11,25,ARUN  SERIES
8, WS-65/ 12,Waaree,65,POLYCRYSTALLINE,21.62,4.01,17.29,3.76,46,-0.3859,-0.2775,0.0051,700x675x35,6,36,1430,13.01,25,ARUN  SERIES
9, WS-70/ 12,Waaree,70,POLYCRYSTALLINE,21.67,4.31,17.31,4.05,46,-0.3859,-0.2775,0.0051,830x675x35,6,36,1540,12.49,25,ARUN  SERIES
10, WS-74/ 12,Waaree,74,POLYCRYSTALLINE,21.71,4.54,17.33,4.28,46,-0.3859,-0.2775,0.0051,900x675x35,6.95,36,1628,12.18,25,ARUN  SERIES
11, WS-74/ 24,Waaree,74,POLYCRYSTALLINE,43.8,2.25,35.35,2.1,46,-0.3859,-0.2775,0.0051,900x675x35,7.95,72,1628,12.18,25,ARUN  SERIES
