"sn","battery_model","manufacturer","ah_rating","C_rate","voltage","type","dimensions","weight","price"
"1","PTB-15000T","Patanjali Battery","150","10","12","VRLA","N/A","63","11900"
"2","PTB-20000T","Patanjali Battery","200","10","12","VRLA","N/A","75","13300"
"3","PTB-10000T","Patanjali Battery","100","10","12","VRLA","N/A","55","8400"
"4","PTB-7500T","Patanjali Battery","75","10","12","VRLA","N/A","32","6900"
"5","PTB-4000T","Patanjali Battery","40","10","12","VRLA","N/A","26","4200"
"6","PTB-16000T","Patanjali Battery","160","20","12","VRLA","N/A","65","12100"
"7","PTEI-4000NT","Patanjali Battery","40","10","12","VRLA","410x175x244","22.95","0"
"8","PT8-7500NT","Patanjali Battery","75","10","12","VRLA","500x212x286","39.08","0"
"9","PTE1-15000TT","Patanjali Battery","150","10","12","VRLA","505x190x410","60.25","0"
"10","PT8-15000TT","Patanjali Battery","150","10","12","VRLA","505x190x410","62.8","0"
"11","PTEI--20000TT","Patanjali Battery","200","10","12","VRLA","505x190x410","62.8","0"
"12","PT8-15000JT","Patanjali Battery","150","20","12","VRLA","480x270x245","55.15","0"
"13","PT8-16000ITT","Patanjali Battery","160","20","12","VRLA","505x190x410","59.95","0"
"14","LPT1220H","Luminous","20","10","12","VRLA","N/A","0","2800"
"15","LPT1240H","Luminous","40","10","12","VRLA","N/A","0","3700"
"16","LPT1275H","Luminous","75","10","12","VRLA","N/A","0","6000"
"17","LPT12100H","Luminous","100","10","12","VRLA","N/A","0","7800"
"18","LPT12120H","Luminous","120","10","12","VRLA","N/A","0","8900"
"19","LPT12150H","Luminous","150","10","12","VRLA","N/A","0","11900"
"20","LPT12200L","Luminous","200","10","12","VRLA","N/A","0","12900"
"21","BG 200-Galaxy","Base Batteries","100","20","12","VRLA","504x189x357","46.2","7022"
"22","BG 300-Galaxy","Base Batteries","120","20","12","VRLA","504x189x357","48.5","7622"
"23","BG 400-Galaxy","Base Batteries","135","20","12","VRLA","504x189x357","50.7","11819"
"24","BG 500-Galaxy","Base Batteries","150","20","12","VRLA","504x189x357","52.5","8822"
"25","BE 1000-Everlast","Base Batteries","100","20","12","VRLA","511x183x245","32","7797"
"26","BE 1350-Everlast","Base Batteries","135","20","12","VRLA","508x210x285","47","6444"
"27","BE 1500-Everlast","Base Batteries","150","20","12","VRLA","508x210x285","56","7357"
"28","BE 1800-Everlast","Base Batteries","180","20","12","VRLA","518x275x285","61","6645"
"29","BT 16500 K","Base Batteries","135","20","12","VRLA","518x275x285","54","12731"
"30","BT 18000 K","Base Batteries","150","20","12","VRLA","518x275x285","56","13553"
"31","BG 350+","Base Batteries","110","20","12","VRLA","504x190x356","50.5","11489"
"32","BG 450+","Base Batteries","130","20","12","VRLA","504x190x356","51.5","13289"
"33","BG 550+","Base Batteries","155","20","12","VRLA","504x190x356","53.5","14438"
"34","BT 10000","Base Batteries","100","20","12","VRLA","503x210x285","45","16068"
"35","BT 13500","Base Batteries","135","20","12","VRLA","518x275x285","57.5","20027"
"36","BT 15000","Base Batteries","150","20","12","VRLA","518x275x285","58","9082"
