hour_of_year,insolation,temperature
0,0,20.417
1,0,20.217
2,0,20.188
3,0,20.104
4,0,19.854
5,0,19.569
6,0.003,19.342
7,0.172,20.954
8,0.436,23.222
9,0.666,25.556
10,0.833,28.083
11,0.912,29.384
12,0.924,30.135
13,0.854,30.47
14,0.695,30.411
15,0.474,29.933
16,0.204,28.527
17,0.016,25.431
18,0,24.005
19,0,23.278
20,0,22.673
21,0,22.133
22,0,21.687
23,0,21.308
24,0,20.979
25,0,20.667
26,0,20.368
27,0,20.126
28,0,19.914
29,0,19.731
30,0.002,19.508
31,0.161,20.97
32,0.43,23.422
33,0.661,25.878
34,0.824,28.371
35,0.885,29.432
36,0.895,30.027
37,0.823,30.256
38,0.644,30.057
39,0.416,29.549
40,0.147,28.255
41,0.012,25.4
42,0,24.085
43,0,23.394
44,0,22.889
45,0,22.381
46,0,21.906
47,0,21.5
48,0,21.13
49,0,20.754
50,0,20.422
51,0,20.138
52,0,19.919
53,0,19.741
54,0.002,19.612
55,0.158,21.02
56,0.422,22.97
57,0.65,25.734
58,0.813,28.588
59,0.893,29.688
60,0.902,30.225
61,0.83,30.386
62,0.656,30.244
63,0.439,29.785
64,0.182,28.485
65,0.014,25.499
66,0,24.174
67,0,23.488
68,0,22.88
69,0,22.298
70,0,21.726
71,0,21.228
72,0,20.85
73,0,20.599
74,0,20.466
75,0,20.394
76,0,20.497
77,0,20.6
78,0.002,20.528
79,0.138,21.667
80,0.391,24.101
81,0.616,26.179
82,0.775,27.966
83,0.817,28.782
84,0.822,29.185
85,0.735,29.246
86,0.545,28.982
87,0.355,28.508
88,0.136,27.536
89,0.01,25.038
90,0,23.885
91,0,23.396
92,0,23.069
93,0,22.71
94,0,22.15
95,0,21.575
96,0,21.079
97,0,20.61
98,0,20.212
99,0,19.914
100,0,19.712
101,0,19.537
102,0.002,19.358
103,0.147,20.77
104,0.409,23.14
105,0.639,25.63
106,0.807,27.358
107,0.899,28.509
108,0.918,29.232
109,0.854,29.531
110,0.696,29.415
111,0.484,28.954
112,0.22,27.887
113,0.02,25.1
114,0,23.833
115,0,23.13
116,0,22.513
117,0,21.915
118,0,21.346
119,0,20.828
120,0,20.346
121,0,19.878
122,0,19.451
123,0,19.226
124,0,18.951
125,0,18.738
126,0.003,18.438
127,0.172,19.315
128,0.435,21.231
129,0.659,24.28
130,0.817,27.021
131,0.895,28.738
132,0.901,29.753
133,0.829,30.17
134,0.672,30.206
135,0.459,29.85
136,0.199,28.644
137,0.017,25.599
138,0,24.178
139,0,23.371
140,0,22.833
141,0,22.433
142,0,21.718
143,0,21.038
144,0,20.442
145,0,19.976
146,0,19.583
147,0,19.146
148,0,18.683
149,0,18.264
150,0.003,17.94
151,0.179,18.68
152,0.444,20.799
153,0.67,24.162
154,0.831,27.465
155,0.913,28.796
156,0.922,29.49
157,0.85,29.722
158,0.694,29.579
159,0.477,29.076
160,0.211,27.974
161,0.019,25.181
162,0,23.688
163,0,22.863
164,0,22.172
165,0,21.564
166,0,21.055
167,0,20.718
168,0,20.492
169,0,20.223
170,0,19.921
171,0,19.542
172,0,19.197
173,0,18.851
174,0.003,18.56
175,0.191,20.256
176,0.461,22.855
177,0.69,25.013
178,0.855,26.953
179,0.93,28.552
180,0.943,29.326
181,0.873,29.532
182,0.703,29.325
183,0.486,28.779
184,0.218,27.597
185,0.02,24.65
186,0,23.199
187,0,22.457
188,0,21.801
189,0,21.233
190,0,20.731
191,0,20.252
192,0,19.775
193,0,19.433
194,0,19.228
195,0,19.029
196,0,18.767
197,0,18.542
198,0.003,18.434
199,0.172,19.586
200,0.438,21.557
201,0.667,24.555
202,0.832,27.635
203,0.901,29.061
204,0.909,29.746
205,0.837,29.991
206,0.668,29.793
207,0.449,29.226
208,0.187,27.982
209,0.016,24.961
210,0,23.512
211,0,22.755
212,0,22.165
213,0,21.657
214,0,21.248
215,0,20.983
216,0,20.674
217,0,20.202
218,0,19.862
219,0,19.642
220,0,19.468
221,0,19.322
222,0.003,19.217
223,0.153,20.886
224,0.406,23.231
225,0.632,25.281
226,0.797,26.965
227,0.871,28.187
228,0.885,28.844
229,0.816,29.146
230,0.652,28.994
231,0.433,28.47
232,0.177,27.371
233,0.016,24.564
234,0,23.2
235,0,22.563
236,0,22.119
237,0,21.766
238,0,21.407
239,0,21.089
240,0,20.835
241,0,20.627
242,0,20.458
243,0,20.366
244,0,20.319
245,0,20.258
246,0.002,20.14
247,0.144,20.915
248,0.4,22.939
249,0.63,25.034
250,0.795,26.659
251,0.879,27.537
252,0.891,28.07
253,0.822,28.195
254,0.678,27.959
255,0.469,27.473
256,0.212,26.606
257,0.021,24.259
258,0,22.97
259,0,22.463
260,0,22.045
261,0,21.594
262,0,21.136
263,0,20.679
264,0,20.25
265,0,19.85
266,0,19.508
267,0,19.208
268,0,18.977
269,0,18.797
270,0.003,18.658
271,0.169,20.29
272,0.423,22.4
273,0.65,25.197
274,0.814,26.869
275,0.904,28.022
276,0.914,28.708
277,0.845,28.974
278,0.685,28.871
279,0.47,28.46
280,0.205,27.557
281,0.02,25.126
282,0,23.783
283,0,23.039
284,0,22.376
285,0,21.821
286,0,21.343
287,0,20.907
288,0,20.499
289,0,20.119
290,0,19.787
291,0,19.533
292,0,19.349
293,0,19.152
294,0.002,18.972
295,0.121,19.9
296,0.349,21.83
297,0.565,24.998
298,0.723,28.002
299,0.789,29.667
300,0.795,30.522
301,0.719,30.854
302,0.547,30.791
303,0.346,30.531
304,0.125,29.759
305,0.01,27.944
306,0,26.365
307,0,25.112
308,0,24.315
309,0,23.792
310,0,23.226
311,0,22.449
312,0,21.633
313,0,21.029
314,0,20.458
315,0,20.065
316,0,19.774
317,0,19.575
318,0.001,19.46
319,0.074,20.177
320,0.263,22.245
321,0.473,25.567
322,0.634,28.329
323,0.741,29.642
324,0.759,30.357
325,0.693,30.629
326,0.524,30.595
327,0.319,30.263
328,0.108,29.367
329,0.009,26.794
330,0,25.317
331,0,24.533
332,0,23.935
333,0,23.359
334,0,22.831
335,0,22.416
336,0,22.087
337,0,21.806
338,0,21.512
339,0,21.177
340,0,20.66
341,0,20.133
342,0.002,19.806
343,0.089,20.7
344,0.293,22.646
345,0.508,25.963
346,0.671,28.559
347,0.737,29.596
348,0.748,30.211
349,0.676,30.488
350,0.517,30.438
351,0.309,30.061
352,0.103,29.15
353,0.009,26.833
354,0,25.413
355,0,24.565
356,0,23.889
357,0,23.308
358,0,22.806
359,0,22.421
360,0,22.112
361,0,21.829
362,0,21.545
363,0,21.275
364,0,20.973
365,0,20.661
366,0.002,20.525
367,0.114,22.164
368,0.345,24.008
369,0.571,26.943
370,0.737,29.148
371,0.81,30.26
372,0.82,30.949
373,0.748,31.271
374,0.588,31.183
375,0.375,30.731
376,0.141,29.626
377,0.013,26.862
378,0,25.348
379,0,24.493
380,0,23.803
381,0,23.223
382,0,22.742
383,0,22.339
384,0,21.947
385,0,21.573
386,0,21.206
387,0,20.86
388,0,20.548
389,0,20.489
390,0.003,20.448
391,0.15,22.03
392,0.397,23.954
393,0.619,26.84
394,0.781,29.461
395,0.87,30.387
396,0.877,30.941
397,0.802,31.164
398,0.648,31.015
399,0.433,30.552
400,0.18,29.546
401,0.019,26.818
402,0,25.188
403,0,24.292
404,0,23.627
405,0,23.106
406,0,22.696
407,0,22.332
408,0,21.992
409,0,21.687
410,0,21.435
411,0,21.16
412,0,20.846
413,0,20.46
414,0.003,20.091
415,0.152,20.941
416,0.392,22.946
417,0.609,26.403
418,0.766,29.142
419,0.841,30.221
420,0.848,30.703
421,0.771,30.826
422,0.57,30.62
423,0.354,30.161
424,0.126,29.209
425,0.012,26.741
426,0,25.266
427,0,24.461
428,0,23.806
429,0,23.258
430,0,22.76
431,0,22.35
432,0,22.083
433,0,21.903
434,0,21.743
435,0,21.543
436,0,21.264
437,0,21.068
438,0.002,21.052
439,0.112,22.71
440,0.333,24.624
441,0.55,27.655
442,0.713,29.777
443,0.801,30.801
444,0.812,31.313
445,0.739,31.442
446,0.552,31.212
447,0.338,30.69
448,0.117,29.64
449,0.011,27.044
450,0,25.553
451,0,24.672
452,0,23.995
453,0,23.461
454,0,23.008
455,0,22.635
456,0,22.381
457,0,22.269
458,0,22.221
459,0,22.023
460,0,21.793
461,0,21.602
462,0.002,21.46
463,0.082,22.4
464,0.276,24.224
465,0.494,26.054
466,0.664,27.655
467,0.766,28.714
468,0.782,29.108
469,0.717,29.109
470,0.573,28.777
471,0.372,28.164
472,0.145,27.212
473,0.015,25.404
474,0,24.065
475,0,23.417
476,0,22.893
477,0,22.48
478,0,22.119
479,0,21.814
480,0,21.505
481,0,21.185
482,0,20.911
483,0,20.698
484,0,20.509
485,0,20.354
486,0.002,20.289
487,0.076,21.449
488,0.24,22.792
489,0.456,24.173
490,0.618,25.504
491,0.681,26.429
492,0.721,26.967
493,0.674,27.146
494,0.564,26.967
495,0.417,26.553
496,0.192,25.811
497,0.023,24.449
498,0,23.269
499,0,22.727
500,0,22.282
501,0,21.93
502,0,21.644
503,0,21.43
504,0,21.237
505,0,21.017
506,0,20.717
507,0,20.365
508,0,20.079
509,0,19.88
510,0.004,19.885
511,0.157,21.247
512,0.368,22.861
513,0.61,24.214
514,0.78,25.375
515,0.856,26.19
516,0.87,26.697
517,0.805,26.883
518,0.679,26.708
519,0.472,26.21
520,0.219,25.378
521,0.028,24.002
522,0,22.775
523,0,22.09
524,0,21.52
525,0,20.971
526,0,20.486
527,0,20.087
528,0,19.724
529,0,19.39
530,0,19.1
531,0,18.844
532,0,18.619
533,0,18.417
534,0.005,18.29
535,0.197,20.008
536,0.451,22.164
537,0.668,24.248
538,0.826,25.666
539,0.931,26.676
540,0.941,27.319
541,0.87,27.515
542,0.697,27.237
543,0.483,26.578
544,0.223,25.595
545,0.028,23.924
546,0,22.614
547,0,22.079
548,0,21.584
549,0,21.131
550,0,20.642
551,0,20.184
552,0,19.781
553,0,19.415
554,0,19.062
555,0,18.696
556,0,18.321
557,0,17.936
