hour_of_year,insolation,temperature,rainfall
0,0,17.953,0.2001
1,0,17.774,0.2099
2,0,17.653,0.214
3,0,17.613,0.1813
4,0,17.556,0.1455
5,0.7068,17.498,0.123
6,73.4071,18.418,0.1104
7,239.6124,20.237,0.1155
8,404.1949,22.992,0.4934
9,521.3542,25.111,0.5425
10,575.9224,26.278,0.6569
11,562.4552,26.885,0.8809
12,489.0527,27.045,1.0161
13,373.4481,26.809,0.9176
14,233.6316,26.171,0.5639
15,97.1262,24.89,0.383
16,6.2407,22.835,0.4394
17,0,22.017,0.4103
18,0,21.399,0.2913
19,0,20.84,0.1985
20,0,20.41,0.1575
21,0,20.064,0.1467
22,0,19.734,0.1861
23,0,19.466,0.2113
24,0,19.224,0.21
25,0,19.002,0.2141
26,0,18.777,0.2502
27,0,18.499,0.27
28,0,18.176,0.2645
29,0.8392,17.929,0.2378
30,79.056,19.088,0.2411
31,244.7509,20.948,0.3777
32,398.5866,23.632,0.626
33,514.007,25.547,0.6463
34,565.9422,26.339,0.8023
35,577.7783,26.823,0.9732
36,528.1533,26.979,1.0632
37,423.027,26.796,0.9761
38,276.5365,26.224,0.6454
39,105.1031,25.067,0.3668
40,6.8153,23.003,0.237
41,0,21.929,0.1518
42,0,21.247,0.1103
43,0,20.652,0.0415
44,0,20.187,0.0273
45,0,19.808,0.0339
46,0,19.488,0.084
47,0,19.229,0.1858
48,0,19.014,0.4139
49,0,18.795,0.6886
50,0,18.563,0.8289
51,0,18.333,0.9071
52,0,18.102,0.6819
53,0.7444,17.895,0.5897
54,58.6218,18.395,0.4409
55,172.2254,19.556,0.3552
56,278.8796,21.018,0.0441
57,377.8298,22.448,0.051
58,432.9818,23.445,0.0936
59,460.2461,24.032,0.0103
60,472.2642,24.469,0.012
61,423.4065,24.665,0.0122
62,295.4098,24.399,0.0088
63,129.4524,23.268,0.0088
64,8.4184,20.625,0.0105
65,0,19.729,0.0074
66,0,19.313,0.0055
67,0,18.911,0.0024
68,0,18.44,0.0017
69,0,17.952,0.0003
70,0,17.523,0.0002
71,0,17.126,0.0002
72,0,16.653,0.0006
73,0,16.023,0.0007
74,0,15.331,0.0006
75,0,14.71,0.0007
76,0,14.109,0.0008
77,0.9874,13.547,0.0009
78,92.9248,14.602,0.0005
79,287.7281,16.76,0
80,473.7392,19.949,0
81,614.872,22.002,0
82,694.9965,23.175,0
83,694.3945,23.891,0
84,636.9914,24.229,0
85,514.7949,24.136,0
86,341.4095,23.52,0
87,144.1718,21.826,0
88,9.9001,18.417,0
89,0,17.122,0
90,0,16.314,0
91,0,15.554,0
92,0,14.857,0
93,0,14.173,0
94,0,13.484,0
95,0,12.809,0
96,0,12.136,0
97,0,11.492,0
98,0,10.897,0
99,0,10.338,0
100,0,9.831,0
101,1.0917,9.381,0
102,89.9741,10.69,0
103,279.1069,13.233,0
104,415.4075,15.798,0
105,545.8625,19.11,0
106,617.6099,21.301,0
107,627.666,22.255,0
108,566.5199,22.686,0
109,445.0031,22.632,0
110,295.0179,22.05,0
111,116.3337,20.033,0
112,7.8094,17.317,0
113,0,16.153,0.0001
114,0,15.322,0.0001
115,0,14.55,0.0001
116,0,13.843,0
117,0,13.179,0
118,0,12.51,0
119,0,11.899,0
120,0,11.365,0.0005
121,0,10.888,0.0005
122,0,10.469,0.0005
123,0,10.143,0
124,0,9.898,0
125,0.8875,9.713,0
126,73.288,10.774,0
127,241.727,13.418,0
128,415.2592,15.963,0.0001
129,551.4568,19.72,0
130,630.0511,21.757,0.0002
131,613.8122,22.587,0.0013
132,558.0919,23.03,0.0035
133,442.3085,23.036,0.0076
134,258.0901,22.28,0.0074
135,101.2306,20.209,0.0028
136,7.194,18.018,0.0034
137,0,17.017,0.0025
138,0,16.192,0.001
139,0,15.467,0.0003
140,0,14.838,0.0004
141,0,14.344,0.0005
142,0,13.919,0.0008
143,0,13.517,0.0008
144,0,13.021,0.0009
145,0,12.507,0.0013
146,0,12,0.0021
147,0,11.485,0.0018
148,0,11.021,0.0012
149,0.8594,10.607,0.0019
150,64.4297,11.402,0.0025
151,214.6433,13.932,0.0037
152,381.2187,16.213,0.0014
153,514.0869,19.699,0.0045
154,591.1479,21.776,0.0116
155,636.7596,22.797,0.0158
156,578.4577,23.235,0.0152
157,457.4817,23.184,0.0163
158,291.9432,22.585,0.0147
159,117.064,20.663,0.0115
160,8.2517,17.874,0.0074
161,0,16.76,0.0039
162,0,15.934,0.0026
163,0,15.236,0.0013
164,0,14.63,0.001
165,0,14.057,0.0003
166,0,13.438,0.0002
167,0,12.829,0.0002
168,0,12.327,0.0002
169,0,11.893,0.0001
170,0,11.423,0.0001
171,0,10.899,0.0001
172,0,10.395,0
173,1.0353,9.947,0
174,78.0342,11.004,0
175,253.8908,13.2,0
176,434.3852,16.198,0
177,575.6605,20.053,0
178,656.1751,22.096,0
179,658.3372,23.036,0
180,603.157,23.506,0
181,484.9594,23.461,0
182,307.4743,22.697,0
183,127.0935,20.463,0
184,9.156,16.929,0
185,0,15.69,0
186,0,14.818,0
187,0,13.931,0
188,0,13.132,0
189,0,12.43,0
190,0,11.81,0
191,0,11.242,0
192,0,10.688,0
193,0,10.154,0
194,0,9.607,0
195,0,9.063,0
196,0,8.562,0
197,1.2297,8.141,0
198,92.6086,9.489,0
