hour_of_year,insolation,temperature,wind,rainfall
0,0,27.756,,
1,0,27.647,,
2,0,27.574,,
3,0,27.566,,
4,0,27.586,,
5,0,27.619,,
6,8,27.668,,
7,150,27.733,,
8,388,27.819,,
9,601,27.885,,
10,756,27.942,,
11,817,27.978,,
12,831,27.998,,
13,770,28.013,,
14,594,28.049,,
15,404,28.1,,
16,182,28.135,,
17,33,28.134,,
18,0,28.085,,
19,0,28.022,,
20,0,27.912,,
21,0,27.765,,
22,0,27.624,,
23,0,27.504,,
24,0,27.386,,
25,0,27.27,,
26,0,27.243,,
27,0,27.323,,
28,0,27.428,,
29,0,27.546,,
30,12,27.655,,
31,196,27.779,,
32,443,27.945,,
33,653,28.105,,
34,807,28.234,,
35,886,28.318,,
36,897,28.355,,
37,833,28.368,,
38,729,28.359,,
39,535,28.32,,
40,292,28.261,,
41,71,28.191,,
42,0,28.119,,
43,0,28.078,,
44,0,28.027,,
45,0,27.942,,
46,0,27.812,,
47,0,27.688,,
48,0,27.59,,
49,0,27.542,,
50,0,27.546,,
51,0,27.585,,
52,0,27.648,,
53,0,27.704,,
54,19,27.768,,
55,252,27.839,,
56,504,27.941,,
57,711,28.056,,
58,860,28.158,,
59,944,28.227,,
60,952,28.251,,
61,886,28.254,,
62,746,28.262,,
63,550,28.26,,
64,303,28.248,,
65,75,28.212,,
66,0,28.161,,
67,0,28.11,,
68,0,28.014,,
69,0,27.872,,
70,0,27.723,,
71,0,27.59,,
72,0,27.47,,
73,0,27.37,,
74,0,27.32,,
75,0,27.352,,
76,0,27.449,,
77,0,27.581,,
78,15,27.72,,
79,220,27.871,,
80,470,28.008,,
81,680,28.073,,
82,830,28.106,,
83,889,28.113,,
84,901,28.091,,
85,839,28.059,,
86,714,28.046,,
87,524,28.058,,
88,281,28.058,,
89,65,28.03,,
90,0,27.975,,
91,0,27.921,,
92,0,27.795,,
93,0,27.608,,
94,0,27.421,,
95,0,27.245,,
96,0,27.071,,
97,0,26.894,,
98,0,26.738,,
99,0,26.636,,
100,0,26.634,,
101,0,26.746,,
102,15,26.882,,
103,217,26.994,,
104,460,27.132,,
105,663,27.273,,
106,809,27.401,,
107,887,27.511,,
108,897,27.587,,
109,831,27.647,,
110,675,27.718,,
111,478,27.785,,
112,237,27.825,,
113,49,27.828,,
114,0,27.794,,
115,0,27.757,,
116,0,27.69,,
117,0,27.589,,
118,0,27.481,,
119,0,27.374,,
120,0,27.282,,
121,0,27.189,,
122,0,27.131,,
123,0,27.118,,
124,0,27.147,,
125,0,27.181,,
126,10,27.249,,
127,169,27.34,,
128,405,27.44,,
129,610,27.509,,
130,756,27.571,,
131,832,27.609,,
132,845,27.618,,
133,778,27.616,,
134,640,27.636,,
135,444,27.676,,
136,208,27.712,,
137,37,27.726,,
138,0,27.709,,
139,0,27.687,,
140,0,27.657,,
141,0,27.607,,
142,0,27.537,,
143,0,27.462,,
144,0,27.367,,
145,0,27.255,,
146,0,27.185,,
147,0,27.145,,
148,0,27.148,,
149,0,27.168,,
150,9,27.21,,
151,162,27.273,,
152,397,27.378,,
153,608,27.482,,
154,762,27.574,,
155,829,27.647,,
156,841,27.704,,
157,779,27.762,,
158,637,27.806,,
159,441,27.849,,
160,207,27.893,,
161,38,27.913,,
162,0,27.903,,
163,0,27.865,,
164,0,27.773,,
165,0,27.625,,
166,0,27.474,,
167,0,27.331,,
168,0,27.2,,
169,0,27.086,,
170,0,27.044,,
171,0,27.114,,
172,0,27.227,,
173,0,27.327,,
174,10,27.438,,
175,164,27.563,,
176,394,27.684,,
177,603,27.764,,
178,756,27.832,,
179,836,27.889,,
180,846,27.929,,
181,782,27.97,,
182,630,28.033,,
183,428,28.123,,
184,192,28.195,,
185,33,28.233,,
186,0,28.229,,
187,0,28.217,,
188,0,28.176,,
189,0,28.09,,
190,0,27.982,,
191,0,27.882,,
192,0,27.762,,
193,0,27.645,,
194,0,27.557,,
195,0,27.496,,
196,0,27.455,,
197,0,27.434,,
198,8,27.446,,
199,138,27.494,,
200,357,27.588,,
201,563,27.692,,
202,721,27.813,,
203,844,27.922,,
204,857,27.997,,
205,793,28.062,,
206,666,28.107,,
207,463,28.15,,
208,221,28.188,,
209,40,28.195,,
210,0,28.154,,
211,0,28.121,,
212,0,28.047,,
213,0,27.934,,
214,0,27.823,,
215,0,27.718,,
216,0,27.609,,
217,0,27.492,,
218,0,27.384,,
219,0,27.316,,
220,0,27.254,,
221,0,27.236,,
222,10,27.257,,
223,154,27.333,,
224,365,27.448,,
225,559,27.551,,
226,701,27.634,,
227,826,27.698,,
228,847,27.728,,
229,789,27.737,,
230,612,27.764,,
231,424,27.798,,
232,198,27.839,,
233,35,27.837,,
234,0,27.809,,
235,0,27.783,,
236,0,27.703,,
237,0,27.604,,
238,0,27.482,,
239,0,27.363,,
240,0,27.25,,
241,0,27.138,,
242,0,27.08,,
243,0,27.083,,
244,0,27.117,,
245,0,27.164,,
246,11,27.218,,
247,175,27.288,,
248,410,27.384,,
249,615,27.447,,
250,761,27.499,,
251,842,27.567,,
252,849,27.64,,
253,781,27.708,,
254,685,27.764,,
255,485,27.83,,
256,239,27.873,,
257,46,27.889,,
258,0,27.857,,
259,0,27.801,,
260,0,27.725,,
261,0,27.604,,
262,0,27.456,,
263,0,27.302,,
264,0,27.172,,
265,0,27.054,,
266,0,26.959,,
267,0,26.912,,
268,0,26.926,,
269,0,26.989,,
270,7,27.071,,
271,93,27.151,,
272,299,27.278,,
273,495,27.451,,
274,672,27.614,,
275,774,27.78,,
276,791,27.937,,
277,731,28.08,,
278,580,28.2,,
279,388,28.295,,
280,164,28.384,,
281,26,28.421,,
282,0,28.416,,
283,0,28.398,,
284,0,28.334,,
285,0,28.219,,
286,0,28.081,,
287,0,27.936,,
288,0,27.79,,
289,0,27.649,,
290,0,27.541,,
291,0,27.493,,
292,0,27.48,,
293,0,27.479,,
294,8,27.517,,
295,141,27.579,,
296,360,27.68,,
297,561,27.763,,
298,711,27.833,,
299,806,27.9,,
300,819,27.955,,
301,753,28.003,,
302,601,28.046,,
303,404,28.097,,
304,181,28.138,,
305,31,28.147,,
306,0,28.111,,
307,0,28.071,,
308,0,28.001,,
309,0,27.886,,
310,0,27.732,,
311,0,27.565,,
312,0,27.4,,
313,0,27.259,,
314,0,27.19,,
315,0,27.19,,
316,0,27.208,,
317,0,27.249,,
318,9,27.311,,
319,145,27.411,,
320,370,27.542,,
321,576,27.647,,
322,725,27.739,,
323,756,27.837,,
324,768,27.934,,
325,709,28.008,,
326,598,28.067,,
327,409,28.1,,
328,185,28.141,,
329,32,28.168,,
330,0,28.152,,
331,0,28.141,,
332,0,28.115,,
333,0,28.062,,
334,0,27.971,,
335,0,27.875,,
336,0,27.798,,
337,0,27.736,,
338,0,27.681,,
339,0,27.626,,
340,0,27.623,,
341,0,27.604,,
342,9,27.609,,
