hour_of_year,insolation,temperature,wind,rainfall
0,0,10.952,,
1,0,10.927,,
2,159,12.526,,
3,443,18.148,,
4,682,21.884,,
5,851,25.934,,
6,946,27.516,,
7,956,28.295,,
8,881,28.558,,
9,719,28.332,,
10,493,27.558,,
11,211,24.449,,
12,8,19.946,,
13,0,18.177,,
14,0,16.95,,
15,0,16.289,,
16,0,16.23,,
17,0,16.165,,
18,0,16.119,,
19,0,15.715,,
20,0,15.086,,
21,0,13.759,,
22,0,12.839,,
23,0,11.942,,
24,0,11.471,,
25,0,11.346,,
26,138,12.639,,
27,410,17.246,,
28,649,20.931,,
29,820,24.756,,
30,940,26.661,,
31,955,27.955,,
32,887,28.621,,
33,744,28.578,,
34,524,27.75,,
35,239,24.804,,
36,10,19.222,,
37,0,17.423,,
38,0,16.412,,
39,0,15.605,,
40,0,14.82,,
41,0,14.068,,
42,0,13.385,,
43,0,12.652,,
44,0,11.976,,
45,0,11.409,,
46,0,10.983,,
47,0,10.661,,
48,0,10.439,,
49,0,10.222,,
50,170,12.386,,
51,449,17.266,,
52,682,21.265,,
53,848,25.16,,
54,948,26.928,,
55,959,28.071,,
56,888,28.518,,
57,720,28.251,,
58,499,27.39,,
59,220,24.679,,
60,9,19.334,,
61,0,17.427,,
62,0,16.203,,
63,0,15.171,,
64,0,14.3,,
65,0,13.566,,
66,0,13.131,,
67,0,13.148,,
68,0,12.932,,
69,0,12.401,,
70,0,11.692,,
71,0,11.105,,
72,0,10.675,,
73,0,10.478,,
74,82,12.624,,
75,292,16.766,,
76,564,20.664,,
77,768,25.033,,
78,797,26.733,,
79,721,27.529,,
80,655,27.871,,
81,555,27.715,,
82,394,26.967,,
83,138,24.214,,
84,3,20.836,,
85,0,20.314,,
86,0,20.148,,
87,0,20.047,,
88,0,19.906,,
89,0,19.72,,
90,0,19.276,,
91,0,18.825,,
92,0,18.299,,
93,0,17.69,,
94,0,17.256,,
95,0,16.82,,
96,0,16.501,,
97,0,16.008,,
98,79,16.738,,
99,301,19.647,,
100,600,23.276,,
101,773,26.052,,
102,890,27.455,,
103,899,28.31,,
104,825,28.667,,
105,655,28.445,,
106,431,27.622,,
107,158,25.248,,
108,5,20.564,,
109,0,19.079,,
110,0,18.147,,
111,0,17.337,,
112,0,16.582,,
113,0,15.864,,
114,0,14.951,,
115,0,13.851,,
116,0,12.909,,
117,0,12.26,,
118,0,11.807,,
119,0,11.311,,
120,0,10.691,,
121,0,10.084,,
122,40,10.97,,
123,216,13.729,,
124,480,17.457,,
125,704,20.934,,
126,875,22.905,,
127,867,23.848,,
128,768,24.098,,
129,649,23.884,,
130,401,22.999,,
131,128,21.011,,
132,4,16.246,,
133,0,14.621,,
134,0,13.74,,
135,0,12.877,,
136,0,11.945,,
137,0,11.092,,
138,0,10.387,,
139,0,9.739,,
140,0,9.077,,
141,0,8.566,,
142,0,8.135,,
143,0,7.654,,
144,0,7.202,,
145,1,6.768,,
146,190,8.441,,
147,477,11.792,,
148,712,16.526,,
149,876,20.998,,
150,943,23.602,,
151,953,25.144,,
152,880,25.935,,
153,713,25.915,,
154,491,25.147,,
155,210,22.387,,
156,9,17.264,,
157,0,15.319,,
158,0,14.011,,
159,0,12.867,,
160,0,11.884,,
161,0,11.069,,
162,0,10.415,,
163,0,9.942,,
164,0,9.582,,
165,0,9.193,,
166,0,8.778,,
167,0,8.408,,
168,0,8.058,,
169,0,7.716,,
170,149,9.648,,
171,423,14.451,,
172,659,18.615,,
173,827,22.52,,
174,919,24.575,,
175,928,25.608,,
176,850,25.977,,
177,687,25.681,,
178,454,24.704,,
179,176,22.203,,
180,7,16.878,,
181,0,15.056,,
182,0,13.918,,
183,0,12.93,,
184,0,12.064,,
185,0,11.302,,
186,0,10.643,,
187,0,10.101,,
188,0,9.688,,
189,0,9.408,,
190,0,9.221,,
191,0,9.019,,
192,0,8.82,,
193,0,8.643,,
194,122,10.705,,
195,388,14.637,,
196,633,18.921,,
197,810,22.712,,
198,894,24.795,,
199,907,26.129,,
200,836,26.73,,
201,684,26.676,,
202,460,26.029,,
203,184,23.549,,
204,8,18.801,,
205,0,16.851,,
206,0,15.572,,
207,0,14.363,,
208,0,13.291,,
209,0,12.41,,
210,0,11.714,,
211,0,11.186,,
212,0,10.773,,
213,0,10.394,,
214,0,10.012,,
215,0,9.629,,
216,0,9.306,,
217,1,9.017,,
218,157,11.168,,
219,431,16.058,,
220,666,20.213,,
221,831,23.926,,
222,914,25.71,,
223,924,26.866,,
224,850,27.437,,
225,681,27.404,,
226,447,26.7,,
227,164,24.239,,
228,7,20.68,,
229,0,19.338,,
230,0,18.503,,
231,0,17.78,,
232,0,17.028,,
233,0,16.166,,
234,0,15.232,,
235,0,14.41,,
236,0,13.387,,
237,0,12.352,,
238,0,11.723,,
239,0,11.33,,
240,0,11.047,,
241,0,10.848,,
242,91,12.829,,
243,315,17.515,,
244,516,21.301,,
245,712,24.413,,
246,808,25.895,,
247,831,26.858,,
248,762,27.292,,
249,620,27.17,,
250,397,26.415,,
251,140,24.577,,
252,5,21.633,,
253,0,20.595,,
254,0,19.995,,
255,0,19.084,,
256,0,17.865,,
257,0,16.393,,
258,0,15.162,,
259,0,14.1,,
260,0,13.229,,
261,0,12.572,,
262,0,12.116,,
263,0,11.783,,
264,0,11.526,,
265,1,11.305,,
266,123,13.45,,
267,372,17.306,,
268,604,21.586,,
269,771,24.913,,
270,866,26.395,,
271,874,27.273,,
272,799,27.642,,
273,596,27.426,,
274,372,26.678,,
275,125,24.839,,
276,5,20.678,,
277,0,18.955,,
278,0,17.831,,
279,0,16.805,,
280,0,15.919,,
281,0,15.159,,
282,0,14.511,,
283,0,13.983,,
284,0,13.545,,
285,0,13.142,,
286,0,12.843,,
287,0,12.614,,
288,0,12.521,,
289,1,12.516,,
290,80,14.121,,
291,294,18.118,,
292,532,21.695,,
293,712,24.079,,
294,828,25.304,,
295,843,26.092,,
296,772,26.437,,
297,615,26.261,,
298,393,25.469,,
299,138,23.796,,
300,6,19.195,,
301,0,17.579,,
302,0,16.703,,
303,0,15.718,,
304,0,14.786,,
305,0,13.981,,
306,0,13.298,,
307,0,12.784,,
308,0,12.402,,
309,0,12.045,,
310,0,11.605,,
311,0,11.157,,
312,0,10.738,,
313,1,10.422,,
314,117,11.662,,
315,371,14.53,,
316,610,19.286,,
317,779,22.985,,
318,869,24.633,,
319,881,25.731,,
320,808,26.318,,
321,635,26.314,,
322,412,25.64,,
323,151,23.487,,
324,7,18.265,,
325,0,16.451,,
326,0,15.312,,
327,0,14.188,,
328,0,13.201,,
329,0,12.346,,
330,0,11.629,,
331,0,11.037,,
332,0,10.567,,
333,0,10.251,,
334,0,10.041,,
335,0,9.983,,
336,0,10.165,,
337,1,10.178,,
338,79,11.796,,
339,391,15.168,,
340,644,19.595,,
341,806,23.467,,
342,885,25.447,,
343,868,26.818,,
344,746,27.592,,
345,595,27.792,,
346,398,27.303,,
347,163,25.321,,
348,9,21.8,,
349,0,20.254,,
350,0,19.294,,
351,0,18.175,,
352,0,17.193,,
353,0,16.187,,
354,0,15.375,,
355,0,14.592,,
356,0,13.946,,
357,0,13.398,,
358,0,13.005,,
359,0,12.8,,
360,0,12.561,,
361,1,12.028,,
362,164,13.359,,
363,429,18.344,,
364,667,22.347,,
365,838,25.785,,
366,941,27.603,,
367,952,28.806,,
368,877,29.442,,
369,725,29.416,,
370,504,28.629,,
371,219,25.941,,
372,12,20.964,,
373,0,19.49,,
374,0,18.775,,
375,0,18.089,,
376,0,17.179,,
377,0,16.323,,
378,0,15.48,,
379,0,14.662,,
380,0,13.912,,
381,0,13.3,,
382,0,12.726,,
383,0,12.191,,
384,0,11.779,,
385,1,11.543,,
386,120,13.243,,
387,374,18.313,,
388,617,22.132,,
389,792,25.256,,
390,915,27.281,,
391,926,28.824,,
392,854,29.665,,
393,696,29.779,,
394,472,29.218,,
395,196,26.61,,
396,11,21.536,,
397,0,19.357,,
398,0,17.971,,
399,0,16.795,,
400,0,15.86,,
401,0,15.072,,
402,0,14.4,,
403,0,13.86,,
404,0,13.395,,
405,0,12.97,,
406,0,12.67,,
407,0,12.479,,
408,0,12.332,,
409,1,12.187,,
410,164,14.646,,
411,428,18.783,,
412,658,23.165,,
413,822,27.546,,
414,919,29.461,,
415,929,30.554,,
416,858,31.042,,
417,711,30.955,,
418,482,30.276,,
419,205,28.024,,
420,12,24.1,,
421,0,22.848,,
422,0,22.465,,
423,0,21.807,,
424,0,20.355,,
425,0,18.696,,
426,0,17.33,,
427,0,16.314,,
428,0,15.392,,
429,0,14.603,,
430,0,13.943,,
431,0,13.337,,
432,0,12.849,,
433,2,12.494,,
434,187,15.025,,
435,458,19.961,,
436,690,24.315,,
437,856,27.839,,
438,955,29.583,,
439,964,30.659,,
440,891,31.158,,
441,728,31.048,,
442,505,30.347,,
443,226,27.972,,
444,15,24.345,,
445,0,23.103,,
446,0,22.622,,
447,0,21.596,,
448,0,20.62,,
449,0,19.139,,
450,0,17.936,,
451,0,16.916,,
452,0,16.026,,
453,0,15.186,,
454,0,14.464,,
455,0,13.817,,
456,0,13.232,,
457,2,12.694,,
458,184,14.918,,
459,453,20.077,,
460,684,24.093,,
461,849,27.922,,
462,947,29.588,,
463,953,30.509,,
464,874,30.809,,
465,723,30.642,,
466,491,29.951,,
467,205,27.657,,
468,12,22.894,,
469,0,22.54,,
470,0,22.662,,
471,0,21.8,,
472,0,20.647,,
473,0,19.35,,
474,0,18.405,,
475,0,17.828,,
476,0,17.476,,
477,0,16.985,,
478,0,16.25,,
479,0,15.162,,
480,0,13.891,,
481,1,12.955,,
482,104,14.554,,
483,286,18.382,,
484,524,21.969,,
485,736,25.098,,
486,846,26.507,,
487,854,27.047,,
488,763,26.921,,
489,552,26.197,,
490,320,25.079,,
491,93,23.355,,
492,5,19.36,,
493,0,17.353,,
494,0,16.555,,
495,0,16.179,,
496,0,15.714,,
497,0,14.916,,
498,0,14.128,,
499,0,13.288,,
500,0,12.432,,
501,0,11.6,,
502,0,10.976,,
503,0,10.698,,
504,0,10.555,,
505,1,10.493,,
506,75,11.92,,
507,282,14.854,,
