hour_of_year,insolation,temperature,rainfall,wind_speed,wind_direction,humidity
0,0,9,17520,0,234,81
1,0,11.7,17521,3,3,70
2,0,14.3,17522,7,15,60
3,0,17,17523,10,320,52
4,0,19,17524,12,86,44
5,0,21,17525,13,344,37
6,0,23,17526,15,320,31
7,417,22.7,17527,12,346,33
8,679,22.3,17528,10,289,35
9,822,22,17529,8,258,38
10,791,21.7,17530,5,356,40
11,797,21.3,17531,2,11,43
12,794,21,17532,0,117,46
13,829,18.7,17533,2,319,52
14,714,16.3,17534,3,158,59
15,492,14,17535,5,50,67
16,111,13,17536,3,10,70
17,0,12,17537,2,327,73
18,0,12.2,17538,0,191,79
19,0,13.1,17539,0,358,81
20,0,13.9,17540,0,238,82
21,0,13.8,17541,0,264,84
22,0,13.9,17542,1,286,82
23,0,14.6,17543,2,184,76
24,0,15.5,17544,5,215,67
25,0,17.7,17545,8,149,57
26,0,19.7,17546,10,98,48
27,0,21.5,17547,12,360,41
28,0,22.9,17548,14,255,37
29,0,24.1,17549,16,340,35
30,0,24,17550,15,320,34
31,413,24.7,17551,17,2,35
32,678,25.3,17552,18,284,36
33,821,26,17553,20,360,37
34,791,24.3,17554,13,82,40
35,797,22.7,17555,7,162,45
36,795,21,17556,0,71,49
37,767,18.7,17557,0,70,57
38,617,16.3,17558,0,2,66
39,485,14,17559,0,109,77
40,57,13.3,17560,0,181,78
41,0,12.7,17561,0,131,80
42,0,12,17562,0,152,82
43,0,12.2,17563,0,71,83
44,0,12.3,17564,0,287,84
45,0,12.5,17565,0,274,85
46,0,12.7,17566,0,353,86
47,0,12.8,17567,0,213,87
48,0,9,17568,0,104,81
49,0,11.7,17569,3,10,70
50,0,14.3,17570,7,238,60
51,0,17,17571,10,320,52
52,0,19,17572,12,103,44
53,0,21,17573,13,178,37
54,0,23,17574,15,320,31
55,417,22.7,17575,12,320,33
56,680,22.3,17576,10,117,35
57,823,22,17577,8,247,38
58,791,21.7,17578,5,17,40
59,797,21.3,17579,2,105,43
60,795,21,17580,0,190,46
61,831,18.7,17581,2,324,52
62,719,16.3,17582,3,249,59
63,500,14,17583,5,50,67
64,125,13,17584,3,269,70
65,0,12,17585,2,129,73
66,0,11,17586,0,173,76
67,0,11.8,17587,0,281,78
68,0,12.7,17588,0,313,80
69,0,13.5,17589,0,153,82
70,0,14.3,17590,0,119,84
71,0,15.2,17591,0,333,86
72,0,7,17592,0,79,87
73,0,10.3,17593,0,52,73
74,0,13.7,17594,0,233,61
75,0,17,17595,0,23,52
76,0,19.3,17596,7,8,41
77,0,21.7,17597,13,46,32
78,0,24,17598,20,230,25
79,418,24.7,17599,15,166,27
80,680,25.3,17600,10,151,30
81,822,26,17601,5,360,32
82,791,24,17602,5,307,38
83,797,22,17603,5,120,44
84,795,20,17604,5,270,53
85,812,18.3,17605,3,205,56
86,720,16.7,17606,2,190,59
87,503,15,17607,0,231,63
88,131,13.3,17608,0,275,70
89,0,11.7,17609,0,99,78
90,0,10,17610,0,182,87
91,0,11.2,17611,3,220,86
92,0,12.3,17612,7,274,84
93,0,13.5,17613,10,2,82
94,0,14.7,17614,13,351,80
95,0,15.8,17615,17,196,79
96,0,10,17616,0,158,82
97,0,12,17617,0,180,78
98,0,14,17618,0,234,75
99,0,16,17619,0,253,72
100,0,19,17620,2,282,52
101,0,22,17621,3,149,38
102,0,25,17622,5,320,28
103,413,24.3,17623,4,170,31
104,681,23.7,17624,3,2,35
105,821,23,17625,2,120,39
106,791,22.3,17626,2,277,44
107,797,21.7,17627,1,242,50
108,872,21,17628,0,174,56
109,779,18.9,17629,0,224,60
110,643,16.9,17630,0,197,63
111,440,14.8,17631,0,220,67
112,98,12.8,17632,0,43,75
113,0,10.7,17633,0,152,84
114,0,8.7,17634,0,18,93
115,0,9.4,17635,0,101,91
116,0,10.2,17636,0,217,89
117,0,11,17637,0,47,87
118,0,11,17638,3,235,87
119,0,11,17639,7,35,87
120,0,11,17640,10,230,87
121,0,13.5,17641,10,8,76
122,0,16,17642,10,321,66
123,0,18.5,17643,10,229,58
124,0,21,17644,10,86,50
125,0,23.5,17645,10,206,44
126,0,26,17646,10,320,39
127,424,25.3,17647,8,2,41
128,672,24.7,17648,7,152,42
129,819,24,17649,5,57,44
130,791,23.3,17650,3,41,46
131,797,22.7,17651,2,50,48
132,795,22,17652,0,248,50
133,824,20.7,17653,0,8,54
134,687,19.3,17654,0,113,59
135,449,18,17655,0,189,64
136,120,16.7,17656,0,92,69
137,0,15.3,17657,0,36,75
138,0,14,17658,0,79,82
139,0,13.7,17659,0,281,84
140,0,13.3,17660,0,12,86
141,0,13,17661,0,33,88
142,0,12.3,17662,2,187,88
143,0,11.7,17663,3,187,88
144,0,11,17664,5,320,87
145,0,13.3,17665,3,138,80
146,0,15.7,17666,2,56,74
147,0,18,17667,0,95,68
148,0,21,17668,0,141,66
149,0,24,17669,0,219,64
150,0,27,17670,0,163,62
151,371,25.7,17671,0,321,63
152,611,24.3,17672,0,276,64
153,787,23,17673,0,87,65
154,731,23,17674,0,129,65
155,739,23,17675,0,175,65
156,829,23,17676,0,24,65
157,612,20.3,17677,0,108,68
158,502,17.7,17678,0,26,72
159,405,15,17679,0,280,77
160,43,15,17680,0,278,80
161,0,15,17681,0,150,84
162,0,15,17682,0,43,88
163,0,14.7,17683,0,9,88
164,0,14.3,17684,0,247,88
165,0,14,17685,0,88,88
166,0,13.7,17686,0,307,88
167,0,13.3,17687,0,25,88
168,0,13,17688,0,117,88
169,0,15.3,17689,3,224,74
170,0,17.7,17690,7,331,62
171,0,20,17691,10,50,53
172,0,22.3,17692,15,57,51
173,0,24.7,17693,20,254,49
174,0,27,17694,25,50,48
175,413,27.7,17695,18,11,45
176,666,28.3,17696,12,65,42
