hour_of_year,insolation,temperature,rainfall,wind_speed,wind_direction,humidity
0,0,5.4,61320,0,0,90
1,0,4.4,61321,0,0,95
2,0,4.1,61322,2,15,95
3,0,2.7,61323,1,17,99
4,0,0.2,61324,0,0,100
5,0,0.6,61325,0,0,100
6,193,0.6,61326,0,0,97
7,467,2.8,61327,0,0,91
8,321,7.5,61328,13,72,78
9,1035,12.3,61329,32,183,62
10,506,17.6,61330,50,293,49
11,1161,20.7,61331,61,9,37
12,953,22.9,61332,61,16,31
13,614,22.8,61333,50,315,27
14,894,22.5,61334,32,203,27
15,699,20.6,61335,13,87,32
16,131,19,61336,0,0,40
17,0,16.3,61337,0,0,51
18,0,14.4,61338,0,0,62
19,0,12.4,61339,0,0,70
20,0,11.8,61340,3,16,76
21,0,10.7,61341,2,17,80
22,0,10.2,61342,0,0,81
23,0,8.3,61343,0,0,85
24,0,6.7,61344,0,0,90
25,0,4.2,61345,0,0,95
26,0,2.8,61346,2,12,96
27,0,0.9,61347,3,17,97
28,0,4.4,61348,0,0,95
29,0,3.6,61349,4,91,90
30,67,4.8,61350,6,185,90
31,133,6.8,61351,11,270,87
32,420,11,61352,15,302,86
33,543,15,61353,23,309,77
34,732,19.2,61354,31,293,67
35,354,21.4,61355,41,302,51
36,995,23.1,61356,48,321,39
37,885,23,61357,50,360,30
38,788,22.9,61358,44,9,30
39,234,21.3,61359,33,347,33
40,117,19.4,61360,19,270,45
41,0,15.8,61361,10,175,55
42,0,12.5,61362,2,69,68
43,0,9,61363,0,0,76
44,0,7.4,61364,0,0,86
45,0,6.3,61365,0,0,87
46,0,6.8,61366,0,0,91
47,0,6.7,61367,1,29,88
48,0,7.1,61368,0,22,91
49,0,6.4,61369,0,0,90
50,0,6.2,61370,0,0,93
51,0,4.9,61371,0,0,92
52,0,1.2,61372,0,0,92
53,0,1,61373,0,0,95
54,50,3.1,61374,0,0,99
55,101,5.4,61375,0,0,92
56,915,10,61376,0,0,79
57,729,13.7,61377,0,0,66
58,1109,18,61378,0,0,54
59,1002,19.9,61379,0,0,44
60,1031,21.9,61380,0,0,39
61,771,22.2,61381,0,0,37
62,620,23.1,61382,0,0,42
63,170,21.9,61383,0,0,50
64,43,20.2,61384,0,0,60
65,0,15.8,61385,0,0,72
66,0,12.1,61386,0,0,83
67,0,8,61387,0,0,90
68,0,6.7,61388,0,0,93
69,0,5.7,61389,0,0,93
70,0,6.4,61390,0,0,92
71,0,5.5,61391,0,0,93
72,0,5,61392,0,0,95
73,0,3,61393,0,0,97
74,0,2.3,61394,0,0,99
75,0,0.9,61395,0,0,97
76,0,13.8,61396,42,113,87
77,0,14.1,61397,48,124,91
78,230,14.9,61398,67,173,91
79,271,13.4,61399,75,113,89
80,423,14.9,61400,96,136,82
81,439,15.3,61401,98,90,77
82,618,18,61402,100,135,71
83,224,17.8,61403,76,99,72
84,191,18.8,61404,60,152,74
85,540,17.2,61405,36,135,79
86,240,17.7,61406,36,200,82
87,478,16,61407,30,151,85
88,107,16,61408,36,135,85
89,0,13.4,61409,22,10,87
90,0,13.2,61410,16,3,86
91,0,11.6,61411,0,0,91
92,0,12.8,61412,4,164,91
93,0,11.5,61413,1,259,95
94,0,11,61414,11,360,95
95,0,7.2,61415,4,262,99
96,0,5.6,61416,7,167,99
97,0,4,61417,0,0,97
98,0,7.1,61418,14,0,90
99,0,9.6,61419,21,0,89
100,0,11.4,61420,0,0,95
101,0,9.9,61421,0,0,93
102,14,9.5,61422,0,0,99
103,29,10,61423,0,0,95
104,502,12.6,61424,5,121,83
105,181,15.6,61425,14,212,74
106,883,19.2,61426,25,338,63
107,736,21.3,61427,34,349,57
108,807,22.7,61428,38,360,52
109,220,22.4,61429,36,293,50
110,752,21.9,61430,30,292,49
111,499,20.4,61431,22,257,52
112,33,19,61432,17,293,56
113,0,16.7,61433,15,275,66
114,0,14.5,61434,19,319,77
115,0,12,61435,25,315,89
116,0,10.4,61436,30,7,94
117,0,9.1,61437,30,337,97
118,0,9,61438,25,315,95
119,0,9.2,61439,16,190,95
120,0,10.3,61440,7,108,94
121,0,11.2,61441,0,0,95
122,0,12.2,61442,0,0,93
123,0,12,61443,0,0,95
124,0,5,61444,0,0,92
125,0,5.7,61445,4,90,93
126,43,7.2,61446,7,200,93
127,86,8.6,61447,11,293,93
128,317,11,61448,13,338,94
129,540,13.3,61449,15,331,85
130,808,16.2,61450,17,293,73
131,660,18.3,61451,21,257,62
132,389,20.3,61452,23,248,55
133,806,21,61453,25,270,51
134,644,21.2,61454,22,301,53
135,223,20,61455,18,308,58
136,112,18.4,61456,11,270,67
137,0,15.9,61457,6,187,76
138,0,13.9,61458,1,85,85
139,0,12,61459,0,0,91
140,0,11.2,61460,0,0,94
141,0,10.3,61461,0,0,93
142,0,9.6,61462,0,0,93
143,0,8,61463,1,29,92
144,0,6.6,61464,0,29,93
145,0,5,61465,0,0,95
146,0,4.5,61466,0,0,96
147,0,4.2,61467,0,0,99
148,0,7.8,61468,0,0,95
149,0,7.9,61469,1,10,95
150,247,8.2,61470,1,16,96
151,381,8.4,61471,0,0,93
152,492,8.9,61472,0,0,93
153,395,9.6,61473,0,0,93
154,478,11.2,61474,0,0,97
155,172,13.3,61475,7,62,89
156,817,16.3,61476,16,166,76
157,813,19,61477,25,270,66
158,744,21,61478,31,352,58
159,909,21.1,61479,31,5,56
160,348,19.4,61480,25,315,58
161,0,15.9,61481,16,206,68
162,0,12,61482,7,92,81
163,0,8.6,61483,0,0,97
164,0,6.8,61484,0,0,93
165,0,6.3,61485,0,0,93
166,0,7,61486,0,0,97
167,0,7.6,61487,1,16,95
168,0,8.1,61488,1,19,92
169,0,8,61489,0,0,95
170,0,7.9,61490,0,0,95
171,0,7.6,61491,0,0,97
172,0,3.2,61492,0,0,97
173,0,3.1,61493,3,34,92
174,0,4.9,61494,1,6,99
175,301,7,61495,0,0,97
176,749,10.6,61496,0,0,89
177,235,13.4,61497,0,0,83
178,452,16,61498,0,0,77
179,708,16.7,61499,12,126,74
180,444,17.5,61500,19,205,69
181,722,17.4,61501,25,270,66
182,255,18.1,61502,19,205,62
183,707,17.8,61503,12,126,60
184,444,17.2,61504,0,0,62
185,0,14.6,61505,0,0,70
186,0,12.1,61506,0,0,79
187,0,9,61507,0,0,93
188,0,7.7,61508,1,6,97
189,0,6.6,61509,3,34,93
190,0,7,61510,0,0,97
191,0,6.6,61511,1,9,97
192,0,6.5,61512,0,0,95
193,0,5.2,61513,0,0,97
194,0,4.6,61514,0,0,95
195,0,3.3,61515,1,9,99
196,0,4,61516,0,0,92
197,0,4.2,61517,0,0,99
198,0,5.1,61518,0,0,92
199,65,6.4,61519,0,0,97
200,539,8.8,61520,0,0,96
201,764,11.5,61521,0,0,88
202,181,14.4,61522,0,0,82
203,437,16.3,61523,0,0,73
204,845,17.4,61524,0,0,70
205,783,17,61525,0,0,69
206,506,16,61526,0,0,76
207,482,14.3,61527,0,0,84
208,273,13,61528,0,0,96
209,0,11.9,61529,0,0,99
210,0,11.6,61530,0,0,94
211,0,11.6,61531,0,0,95
212,0,11.9,61532,0,0,93
213,0,11.5,61533,0,0,91
214,0,10.6,61534,0,0,93
215,0,8.7,61535,0,0,93
216,0,7,61536,0,0,97
217,0,5.2,61537,0,0,97
218,0,4.4,61538,0,0,99
219,0,3.8,61539,0,0,99
220,0,9.4,61540,0,0,97
221,0,8.1,61541,0,5,93
222,0,8.4,61542,0,0,93
223,252,9.6,61543,0,0,97
224,705,12.9,61544,9,7,78
225,591,16.1,61545,20,57,64
