hour_of_year,insolation,temperature,wind,rainfall
0,0,-6.234,,
1,0,-6.523,,
2,0,-6.861,,
3,0,-7.199,,
4,0,-7.555,,
5,3,-7.827,,
6,287,-7.354,,
7,584,-4.535,,
8,818,-1.8,,
9,981,-0.176,,
10,1066,0.753,,
11,1061,1.1,,
12,960,0.847,,
13,706,0.041,,
14,458,-1.184,,
15,153,-3.067,,
16,2,-5.087,,
17,0,-6.153,,
18,0,-7.238,,
19,0,-7.879,,
20,0,-8.141,,
21,0,-8.222,,
22,0,-8.296,,
23,0,-8.471,,
24,0,-8.766,,
25,0,-8.873,,
26,0,-9.049,,
27,0,-9.011,,
28,0,-8.99,,
29,0,-9.147,,
30,137,-8.453,,
31,406,-6.147,,
32,674,-4.214,,
33,831,-2.81,,
34,866,-1.977,,
35,801,-1.758,,
36,634,-2.043,,
37,426,-2.738,,
38,147,-3.893,,
39,43,-5.39,,
40,1,-7.103,,
41,0,-7.618,,
42,0,-8.171,,
43,0,-8.854,,
44,0,-9.509,,
45,0,-9.942,,
46,0,-10.36,,
47,0,-10.734,,
48,0,-10.794,,
49,0,-10.671,,
50,0,-10.697,,
51,0,-10.728,,
52,0,-10.697,,
53,0,-10.703,,
54,245,-9.94,,
55,541,-6.762,,
56,779,-3.482,,
57,948,-1.454,,
58,1036,0.036,,
59,1048,1.045,,
60,961,1.491,,
61,790,1.343,,
62,548,0.439,,
63,246,-1.746,,
64,4,-4.844,,
65,0,-5.252,,
66,0,-5.706,,
67,0,-5.994,,
68,0,-6.257,,
69,0,-6.275,,
70,0,-6.129,,
71,0,-6.133,,
72,0,-6.118,,
73,0,-6.017,,
74,0,-5.877,,
75,0,-6.057,,
76,0,-6.339,,
77,0,-6.634,,
78,215,-6.024,,
79,526,-3.201,,
80,771,-0.007,,
81,937,1.661,,
82,1018,2.628,,
83,1015,2.998,,
84,924,2.823,,
85,737,2.157,,
86,505,0.942,,
87,246,-1.195,,
88,4,-3.813,,
89,0,-4.958,,
90,0,-5.927,,
91,0,-6.626,,
92,0,-7.082,,
93,0,-7.476,,
94,0,-7.737,,
95,0,-7.852,,
96,0,-7.927,,
97,0,-7.957,,
98,0,-7.694,,
99,0,-7.628,,
100,0,-7.575,,
101,0,-7.579,,
102,315,-6.702,,
103,603,-3.719,,
104,834,-0.757,,
105,996,0.953,,
106,1081,2.024,,
107,1088,2.475,,
108,1007,2.352,,
109,847,1.712,,
110,614,0.532,,
111,300,-1.625,,
112,6,-4.146,,
113,0,-5.534,,
114,0,-6.612,,
115,0,-7.117,,
116,0,-7.373,,
117,0,-7.547,,
118,0,-7.682,,
119,0,-7.831,,
120,0,-7.962,,
121,0,-8.059,,
122,0,-7.901,,
123,0,-7.763,,
124,0,-7.881,,
125,0,-7.842,,
126,297,-7.219,,
127,587,-4.373,,
128,819,-1.812,,
129,970,-0.359,,
130,1050,0.572,,
131,1027,0.574,,
132,851,0.218,,
133,618,-0.639,,
134,397,-1.768,,
135,135,-3.567,,
136,2,-5.466,,
137,0,-6.176,,
138,0,-7.001,,
139,0,-7.57,,
140,0,-8.075,,
141,0,-8.297,,
142,0,-8.272,,
143,0,-8.183,,
144,0,-8.064,,
145,0,-8.092,,
146,0,-8.1,,
147,0,-8.29,,
148,0,-8.71,,
149,0,-9.169,,
150,152,-8.913,,
151,469,-5.768,,
152,721,-2.929,,
153,902,-1.108,,
154,1029,0.289,,
155,1057,1.161,,
156,932,1.352,,
157,676,0.873,,
158,477,-0.089,,
159,254,-1.83,,
160,6,-4.79,,
161,0,-5.348,,
162,0,-5.992,,
163,0,-6.667,,
164,0,-7.2,,
165,0,-7.468,,
166,0,-7.521,,
167,0,-7.51,,
168,0,-7.627,,
169,0,-7.86,,
170,0,-8,,
171,0,-8.162,,
172,0,-8.385,,
173,0,-8.515,,
174,83,-7.562,,
175,220,-4.946,,
176,339,-3.271,,
177,354,-2.231,,
178,336,-1.659,,
179,417,-1.336,,
180,376,-1.455,,
181,280,-1.917,,
182,131,-2.799,,
183,31,-4.119,,
184,0,-5.73,,
185,0,-6.238,,
186,0,-6.626,,
187,0,-7.229,,
188,0,-7.752,,
189,0,-8.127,,
190,0,-8.578,,
191,0,-9.019,,
192,0,-9.199,,
193,0,-9.235,,
194,0,-9.168,,
195,0,-9.277,,
196,0,-9.393,,
197,0,-9.401,,
198,257,-8.664,,
199,542,-5.531,,
200,766,-2.096,,
201,935,-0.098,,
202,1023,1.091,,
203,1014,1.671,,
204,879,1.528,,
205,682,0.942,,
206,462,0.034,,
207,188,-1.805,,
208,4,-4.689,,
209,0,-5.41,,
210,0,-5.876,,
211,0,-6.395,,
212,0,-6.643,,
213,0,-6.653,,
214,0,-6.596,,
215,0,-6.567,,
216,0,-6.506,,
217,0,-6.657,,
218,0,-6.935,,
219,0,-7.249,,
220,0,-7.398,,
221,0,-7.568,,
222,115,-6.941,,
223,309,-4.009,,
224,655,-1.315,,
225,878,0.238,,
226,941,1.12,,
227,958,1.508,,
228,853,1.346,,
229,695,0.805,,
230,444,-0.254,,
231,153,-1.997,,
232,2,-4.457,,
233,0,-5.246,,
234,0,-6.047,,
235,0,-6.709,,
236,0,-7.078,,
237,0,-7.245,,
238,0,-7.393,,
239,0,-7.578,,
240,0,-7.807,,
241,0,-8.011,,
242,0,-8.025,,
243,0,-8.08,,
244,0,-8.141,,
245,0,-8.102,,
246,267,-7.135,,
247,553,-3.722,,
248,811,-0.687,,
249,976,1.224,,
250,1060,2.427,,
251,1049,2.871,,
252,963,2.751,,
253,800,2.218,,
254,564,1.146,,
255,258,-0.872,,
256,6,-3.775,,
257,0,-4.849,,
258,0,-5.602,,
259,0,-5.961,,
260,0,-6.33,,
261,0,-6.571,,
262,0,-6.719,,
263,0,-6.826,,
264,0,-6.906,,
265,0,-6.991,,
266,0,-6.946,,
267,0,-6.849,,
268,0,-6.882,,
269,0,-6.908,,
270,318,-6.081,,
271,594,-3.125,,
272,825,-0.411,,
273,988,1.248,,
274,1072,2.273,,
275,1077,2.621,,
276,992,2.393,,
277,827,1.717,,
278,590,0.452,,
279,274,-1.682,,
280,7,-4.36,,
281,0,-5.22,,
282,0,-6.252,,
283,0,-7.203,,
284,0,-7.729,,
285,0,-8.108,,
286,0,-8.41,,
287,0,-8.585,,
288,0,-8.711,,
289,0,-8.775,,
290,0,-8.755,,
291,0,-8.749,,
292,0,-8.785,,
293,0,-8.864,,
294,322,-8.035,,
295,598,-4.722,,
296,831,-2.085,,
297,993,-0.519,,
298,1075,0.518,,
299,1060,0.853,,
300,970,0.592,,
301,754,-0.109,,
302,518,-1.136,,
303,223,-2.966,,
304,4,-5.452,,
305,0,-6.078,,
306,0,-6.836,,
307,0,-7.566,,
308,0,-7.968,,
309,0,-8.277,,
310,0,-8.648,,
311,0,-8.829,,
312,0,-8.97,,
313,0,-9.398,,
314,0,-10.294,,
315,0,-11.668,,
316,0,-12.765,,
317,0,-13.687,,
318,364,-12.26,,
319,650,-7.731,,
320,889,-4.137,,
321,1056,-1.089,,
322,1138,0.797,,
323,1123,1.742,,
324,1029,2.032,,
325,856,1.775,,
326,592,0.896,,
327,285,-1.095,,
328,11,-3.918,,
329,0,-4.958,,
330,0,-5.783,,
331,0,-6.463,,
332,0,-6.66,,
333,0,-6.631,,
334,0,-6.589,,
335,0,-6.43,,
336,0,-6.264,,
337,0,-6.277,,
338,0,-6.735,,
339,0,-7.072,,
340,0,-7.355,,
341,0,-7.446,,
342,298,-6.718,,
343,580,-3.387,,
344,815,0.544,,
345,980,3.289,,
346,1021,4.588,,
347,921,5.03,,
348,752,4.773,,
349,680,4.127,,
350,505,2.952,,
351,177,0.501,,
352,6,-2.401,,
353,0,-3.595,,
354,0,-3.999,,
355,0,-4.184,,
356,0,-4.611,,
357,0,-4.88,,
358,0,-4.909,,
359,0,-5.069,,
360,0,-5.382,,
361,0,-5.576,,
362,0,-5.753,,
363,0,-6.004,,
364,0,-6.239,,
365,0,-6.473,,
366,228,-5.718,,
367,504,-2.755,,
368,730,0.013,,
369,866,1.636,,
370,894,2.328,,
371,806,2.336,,
372,679,1.968,,
373,588,1.36,,
374,465,0.417,,
375,236,-1.324,,
376,6,-3.887,,
377,0,-4.401,,
378,0,-5.203,,
379,0,-6.099,,
380,0,-6.692,,
381,0,-6.994,,
382,0,-7.142,,
383,0,-7.322,,
384,0,-7.484,,
385,0,-7.81,,
386,0,-8.282,,
387,0,-8.714,,
388,0,-9.127,,
389,0,-9.594,,
390,291,-8.865,,
391,580,-5.408,,
392,818,-2.014,,
393,982,-0.034,,
394,1060,1.228,,
395,1051,1.903,,
396,943,1.88,,
397,708,1.172,,
398,419,-0.038,,
399,139,-1.704,,
400,4,-4.015,,
401,0,-4.717,,
402,0,-5.123,,
403,0,-5.621,,
404,0,-6.046,,
405,0,-6.392,,
406,0,-6.639,,
407,0,-6.735,,
408,0,-6.918,,
409,0,-7.237,,
410,0,-7.67,,
411,0,-8.202,,
412,0,-8.605,,
413,0,-8.934,,
414,284,-7.969,,
415,565,-4.384,,
416,813,-0.763,,
417,964,1.853,,
418,1035,2.975,,
419,1018,3.378,,
420,868,3.071,,
421,612,2.145,,
422,280,0.744,,
423,60,-1.056,,
424,1,-2.805,,
425,0,-3.72,,
426,0,-4.092,,
427,0,-4.363,,
428,0,-4.789,,
429,0,-5.29,,
430,0,-5.805,,
431,0,-6.333,,
432,0,-6.82,,
433,0,-7.101,,
434,0,-7.327,,
435,0,-7.686,,
436,0,-8.191,,
437,0,-8.516,,
438,284,-7.366,,
439,559,-3.375,,
